index,LU0340554673,LU0474966677,LU0386875149,LU0625737753
2022-03-28,479.74,168.73,376.85,124.03
2022-03-29,483.82,170.35,380.09,124.28
2022-03-30,481.3,170.88,379.05,125.4
2022-03-31,475.95,169.34,377.73,123.61
2022-04-01,480.13,169.2,377.34,125.75
2022-04-06,475.26,167.61,373.17,127.68
2022-04-07,474.53,165.47,375.62,125.23
2022-04-08,470.78,165.66,375.31,125.53
2022-04-11,465.47,162.55,372.4,120.77
2022-04-12,471.04,160.65,374.15,122.46
2022-04-13,465.69,162.96,371.32,123.57
2022-04-14,469.14,164.2,375.12,125.07
2022-04-19,459.31,161.1,370.11,121.82
2022-04-20,452.71,162.31,373.5,119.01
2022-04-21,448.42,162.59,374.98,115.9
2022-04-22,438.27,161.78,365.45,116.54
2022-04-25,430.27,160.66,358.63,112.43
2022-04-26,432.04,161.88,362.05,113.62
2022-04-27,438.58,161.33,363.25,116.64
2022-04-28,437.13,162.57,363.92,118.64
2022-05-06,410.69,163.41,344.22,116.04
2022-05-10,404.63,159.43,340.31,113.79
2022-05-11,406.83,158.62,339.43,115.04
2022-05-12,398.29,160.09,334.66,113.99
2022-05-13,416.55,163.84,347.09,117.66
2022-05-16,414.7,162.72,346.6,117.63
2022-05-17,417.77,162.12,347.88,120.63
2022-05-18,414.32,163.31,345.88,120.64
2022-05-19,407.25,163.14,337.4,117.34
2022-05-20,414.77,162.67,343.79,121.24
2022-05-23,405.9,163.61,339.99,118.62
2022-05-24,393.68,162.01,335.03,114.62
2022-05-25,398.42,162.91,337.33,115.56
2022-05-27,416.7,163.09,349.05,118.83
2022-05-31,421.04,164.29,350.13,124.43
2022-06-01,427.59,164.43,351.66,123.98
2022-06-02,422.32,163.43,348.08,123.07
2022-06-07,428.18,161.76,351.37,127.21
2022-06-08,437.47,161.89,354.28,131.27
2022-06-09,435.12,162.1,351.29,130.69
2022-06-10,423.13,161.28,342.24,132.62
2022-06-13,404.6,158.62,330.94,128.64
