index,LU0474966081,LU0340554673
2019-06-14,233.02,370.96
2019-06-17,233.23,373.09
2019-06-18,236.34,380.18
2019-06-19,236.41,378.92
2019-06-20,237.08,382.68
2019-06-21,236.16,378.58
2019-06-24,234.33,376.26
2019-06-25,232.24,374.23
2019-06-26,232.08,374.77
2019-06-27,233.16,374.99
2019-06-28,234.1,375.06
2019-07-01,237.22,382.78
2019-07-02,238.55,382.64
2019-07-03,240.7,384.95
2019-07-05,241.54,385.5
2019-07-08,240.52,383.32
2019-07-09,241.06,383.8
2019-07-10,241.19,386.81
2019-07-11,241.7,387.03
2019-07-12,242.84,386.25
2019-07-15,242.67,387.19
2019-07-16,242.68,389.16
2019-07-17,241.05,387.18
2019-07-18,242.08,383.72
2019-07-19,240.52,385.53
2019-07-22,241.19,382.83
2019-07-23,244.41,386.34
2019-07-24,245.71,388.49
2019-07-25,244.08,388.97
2019-07-26,246.59,395.05
2019-07-29,246.08,393.88
2019-07-30,245.29,390.8
2019-07-31,242.73,390.44
2019-08-01,242.21,394.08
2019-08-02,239.52,383.97
2019-08-05,230.66,369.27
2019-08-06,233.64,369.98
2019-08-07,233.21,364.33
2019-08-08,237.95,373.92
2019-08-09,236.39,375.06
2019-08-12,233.22,369.66
2019-08-13,237.33,376.03
2019-08-14,231.2,371.19
2019-08-16,236.13,373.95
2019-08-19,239.19,380.76
2019-08-20,237.44,381.77
2019-08-21,239.3,383.08
2019-08-22,239.47,382.8
2019-08-23,232.67,380.92
2019-08-26,235.14,375.34
2019-08-27,234.65,379.28
2019-08-28,236.73,376.13
2019-08-29,239.96,383.12
2019-08-30,241.31,385.4
2019-09-03,240.74,386.59
2019-09-04,241.89,387.17
2019-09-05,244.77,388.92
2019-09-06,244.92,390.47
2019-09-09,244.7,390.62
2019-09-10,245.15,388.24
2019-09-11,247.92,393.13
2019-09-12,247.9,395.58
2019-09-13,246.57,394.74
2019-09-16,247.73,395.17
2019-09-17,247.2,392.96
2019-09-18,247.05,391.98
2019-09-19,247.14,394.79
2019-09-20,246.94,395.31
2019-09-23,247.26,392.18
2019-09-24,245.18,392.54
2019-09-25,247.56,385.28
2019-09-26,247.34,390.0
2019-09-27,245.93,389.99
2019-09-30,248.2,388.53
2019-10-01,244.82,390.26
2019-10-02,239.82,380.7
2019-10-03,240.91,379.31
2019-10-04,244.45,384.74
2019-10-07,243.0,384.47
2019-10-08,240.07,381.74
2019-10-09,241.78,381.5
2019-10-10,242.59,383.14
2019-10-11,244.76,389.04
2019-10-14,244.65,388.57
2019-10-15,246.82,391.04
2019-10-16,246.04,391.12
2019-10-17,245.29,391.59
2019-10-18,243.82,388.53
2019-10-21,245.34,386.96
2019-10-22,244.8,388.05
2019-10-23,245.85,385.26
2019-10-24,246.56,384.13
2019-10-25,247.88,383.73
2019-10-28,249.22,389.59
2019-10-29,248.5,385.57
2019-10-30,249.15,384.94
2019-10-31,247.66,384.93
2019-11-04,251.01,391.28
2019-11-05,252.54,394.51
2019-11-06,252.74,393.58
2019-11-07,254.17,393.49
2019-11-08,255.39,394.01
2019-11-11,254.57,392.38
2019-11-12,255.49,396.13
2019-11-13,255.74,394.12
2019-11-14,256.18,395.13
2019-11-15,257.0,394.16
2019-11-18,256.46,394.77
2019-11-19,256.35,394.66
2019-11-20,255.74,392.79
2019-11-21,255.11,392.33
2019-11-22,256.65,395.45
2019-11-25,259.1,398.7
2019-11-26,259.61,399.11
2019-11-27,261.07,401.28
2019-11-29,259.43,401.09
2019-12-02,256.12,395.1
2019-12-03,254.17,389.22
2019-12-04,255.7,393.3
2019-12-05,256.01,393.21
2019-12-06,259.37,398.04
2019-12-09,258.08,398.05
2019-12-10,257.35,395.31
2019-12-11,258.19,395.55
2019-12-12,259.68,397.91
2019-12-13,259.29,399.39
2019-12-16,261.12,403.71
2019-12-17,260.82,405.05
2019-12-18,261.38,407.65
2019-12-19,262.78,409.72
2019-12-20,264.84,413.32
2019-12-23,265.0,414.27
2019-12-27,264.53,414.15
2019-12-30,262.08,410.6
2019-12-31,262.35,409.27
2020-01-02,265.14,416.76
2020-01-03,264.13,416.14
2020-01-06,264.46,413.17
2020-01-07,264.88,418.0
2020-01-08,266.72,420.81
2020-01-09,268.95,427.39
2020-01-10,267.92,429.07
2020-01-13,269.28,429.75
2020-01-14,269.19,429.4
2020-01-15,268.97,429.56
2020-01-16,271.47,430.24
2020-01-17,273.66,433.77
2020-01-21,272.85,431.17
2020-01-22,273.5,435.86
2020-01-23,274.56,431.61
2020-01-24,272.58,435.27
2020-01-27,268.59,423.54
2020-01-28,271.59,426.46
2020-01-29,271.41,428.86
2020-01-30,271.39,422.76
2020-01-31,265.53,420.47
2020-02-03,267.96,422.81
2020-02-04,272.45,428.43
2020-02-05,276.42,433.26
2020-02-06,277.99,438.43
2020-02-07,276.86,437.91
2020-02-10,279.93,439.4
2020-02-11,280.64,444.29
2020-02-12,282.97,446.56
2020-02-13,283.78,447.46
2020-02-14,284.42,450.25
2020-02-18,284.18,451.71
2020-02-19,286.36,455.41
2020-02-20,284.99,453.11
2020-02-21,280.74,444.76
2020-02-24,271.24,429.85
2020-02-25,262.84,433.64
2020-02-26,261.82,424.97
2020-02-27,247.55,407.74
2020-02-28,245.58,391.15
2020-03-02,253.5,395.15
2020-03-03,245.35,401.85
2020-03-04,256.56,403.97
2020-03-05,246.82,402.97
2020-03-06,240.02,385.24
2020-03-09,219.7,365.97
2020-03-10,232.08,369.31
2020-03-11,222.05,366.9
2020-03-12,204.49,345.04
2020-03-13,223.79,341.57
2020-03-16,195.76,330.38
2020-03-17,210.63,331.15
2020-03-18,202.26,327.57
2020-03-19,205.76,331.17
2020-03-20,197.11,346.91
2020-03-23,190.08,324.25
2020-03-24,207.25,345.85
2020-03-25,208.96,351.63
2020-03-26,218.15,354.34
2020-03-27,210.14,347.93
2020-03-30,217.75,347.83
2020-03-31,215.4,356.28
2020-04-01,206.79,345.59
2020-04-02,212.7,346.18
2020-04-03,210.76,350.86
2020-04-06,225.9,361.74
2020-04-07,223.51,375.12
2020-04-08,231.56,367.5
2020-04-09,233.32,377.22
2020-04-14,237.38,382.27
2020-04-15,233.51,380.32
2020-04-16,236.06,384.99
2020-04-17,241.51,393.21
2020-04-20,237.34,392.18
2020-04-21,230.49,385.94
2020-04-22,236.51,387.12
2020-04-23,236.4,394.6
2020-04-24,240.04,390.33
2020-04-27,242.95,397.44
2020-04-28,241.89,398.89
2020-04-29,247.86,401.53
2020-04-30,243.34,402.15
2020-05-04,238.31,388.46
2020-05-05,242.13,399.03
2020-05-06,241.41,403.26
2020-05-07,244.69,408.41
2020-05-08,246.68,411.16
2020-05-11,247.78,412.61
2020-05-12,241.6,413.51
2020-05-13,238.16,410.34
2020-05-14,241.51,401.95
2020-05-15,242.37,408.41
2020-05-18,249.15,419.07
2020-05-19,244.51,420.01
2020-05-20,247.61,423.96
2020-05-22,248.61,421.58
2020-05-26,249.52,426.55
2020-05-27,253.49,418.76
2020-05-28,251.09,420.85
2020-05-29,250.77,416.53
2020-06-02,252.45,424.48
2020-06-03,255.09,428.91
2020-06-04,251.5,428.53
2020-06-05,258.8,429.69
2020-06-08,262.2,429.9
2020-06-09,258.93,431.33
2020-06-10,257.59,433.2
2020-06-11,241.81,428.8
2020-06-12,247.95,427.1
2020-06-15,249.39,419.94
2020-06-16,254.96,435.9
2020-06-17,254.37,438.71
2020-06-18,254.59,439.46
2020-06-19,253.99,443.55
2020-06-22,254.17,441.18
2020-06-24,248.07,442.87
2020-06-25,252.18,439.89
2020-06-26,246.32,442.78
2020-06-29,248.98,432.7
2020-06-30,253.15,441.68
2020-07-01,253.76,445.9
2020-07-02,255.69,453.27
2020-07-06,257.69,458.01
2020-07-07,255.64,460.26
2020-07-08,256.67,460.86
2020-07-09,256.04,467.36
2020-07-10,258.15,464.6
2020-07-13,254.61,468.72
2020-07-14,257.38,452.04
2020-07-15,259.27,459.58
2020-07-16,258.08,452.19
2020-07-17,259.03,453.61
2020-07-20,260.79,456.61
2020-07-21,260.14,464.38
2020-07-22,259.27,454.1
2020-07-23,256.04,454.52
2020-07-24,253.82,442.29
2020-07-27,252.36,442.45
2020-07-28,251.77,445.4
2020-07-29,253.91,446.17
2020-07-30,252.56,443.77
2020-07-31,253.85,446.61
2020-08-03,257.57,457.15
2020-08-04,258.12,459.28
2020-08-05,257.0,456.69
2020-08-06,259.53,456.88
2020-08-07,260.92,461.69
2020-08-10,262.13,456.69
2020-08-11,260.07,456.03
2020-08-12,262.87,456.81
2020-08-13,261.63,456.87
2020-08-14,261.78,454.67
2020-08-17,261.64,455.07
2020-08-18,261.1,455.69
2020-08-19,260.41,454.75
2020-08-20,262.53,456.92
2020-08-21,264.83,462.62
2020-08-24,266.75,467.62
2020-08-25,267.48,468.05
2020-08-26,270.34,478.19
2020-08-27,271.44,481.45
2020-08-28,270.81,477.79
2020-08-31,268.84,472.43
2020-09-01,270.77,472.9
2020-09-02,277.8,479.96
2020-09-03,268.16,478.6
2020-09-04,266.88,464.13
2020-09-08,259.59,456.49
2020-09-09,264.45,455.37
2020-09-10,258.46,458.9
2020-09-11,259.47,453.36
2020-09-14,261.93,457.83
2020-09-15,263.77,461.74
2020-09-16,263.05,464.3
2020-09-17,261.32,454.85
2020-09-18,257.25,453.06
2020-09-21,256.81,447.21
2020-09-22,260.34,453.75
2020-09-23,254.87,460.19
2020-09-24,256.36,450.6
2020-09-25,260.94,451.68
2020-09-28,264.55,461.0
2020-09-29,261.38,459.4
2020-09-30,263.64,463.08
2020-10-01,264.85,464.31
2020-10-02,262.78,463.3
2020-10-05,265.75,459.98
2020-10-06,262.05,463.76
2020-10-07,267.3,463.32
2020-10-08,269.79,468.41
2020-10-09,270.64,468.94
2020-10-12,275.12,475.78
2020-10-13,274.97,482.7
2020-10-14,272.81,485.16
2020-10-15,273.81,475.82
2020-10-16,273.36,479.22
2020-10-19,267.46,476.92
2020-10-20,267.65,473.2
2020-10-21,266.07,477.0
2020-10-22,268.54,472.92
2020-10-23,269.28,471.4
2020-10-26,264.68,469.55
2020-10-27,263.53,472.42
2020-10-28,255.98,467.33
2020-10-29,261.15,471.36
2020-10-30,258.2,459.74
2020-11-02,261.65,468.22
2020-11-03,264.17,463.13
2020-11-04,270.49,475.49
2020-11-05,273.03,486.14
2020-11-06,271.87,483.72
2020-11-09,276.26,491.65
2020-11-10,275.98,476.05
2020-11-11,279.55,481.38
2020-11-12,275.58,486.18
2020-11-13,279.12,482.95
2020-11-16,281.98,485.86
2020-11-17,279.74,480.72
2020-11-18,276.52,480.7
2020-11-19,278.48,482.15
2020-11-20,276.26,484.28
2020-11-23,278.67,486.51
2020-11-24,281.89,488.46
2020-11-25,280.79,490.08
2020-11-27,280.35,494.89
2020-11-30,278.77,488.73
2020-12-01,280.24,491.58
2020-12-02,279.69,485.79
2020-12-03,277.66,489.66
2020-12-04,280.55,489.74
2020-12-07,280.19,490.74
2020-12-08,281.44,491.27
2020-12-09,279.95,496.87
2020-12-10,278.5,488.85
2020-12-11,278.66,492.86
2020-12-14,277.08,495.75
2020-12-15,280.01,494.85
2020-12-16,279.72,499.45
2020-12-17,280.0,502.61
2020-12-18,279.27,502.3
2020-12-21,278.69,499.64
2020-12-22,279.14,500.81
2020-12-23,278.93,499.1
2020-12-28,281.71,496.4
2020-12-29,280.46,498.55
2020-12-30,279.51,501.78
2020-12-31,282.82,503.14
2021-01-04,277.83,504.27
2021-01-05,279.71,504.47
2021-01-06,281.19,499.34
2021-01-07,285.91,502.5
2021-01-08,287.58,509.33
2021-01-11,288.16,514.34
2021-01-12,288.09,512.98
2021-01-13,288.7,513.33
2021-01-14,288.22,521.7
2021-01-15,287.17,519.79
2021-01-19,288.67,520.91
2021-01-20,293.23,534.61
2021-01-21,292.24,534.02
2021-01-22,290.75,533.66
2021-01-25,292.89,542.2
2021-01-26,291.58,535.62
2021-01-27,285.85,529.53
2021-01-28,287.94,526.06
2021-01-29,281.78,519.39
2021-02-01,287.9,526.41
2021-02-02,293.21,540.73
2021-02-03,293.89,548.38
2021-02-04,297.93,551.45
2021-02-05,297.94,554.0
2021-02-08,299.6,557.51
2021-02-09,298.05,559.33
2021-02-10,297.13,565.7
2021-02-11,297.63,565.73
2021-02-12,299.35,568.63
2021-02-16,299.19,576.2
2021-02-17,301.28,574.54
2021-02-18,298.96,568.98
2021-02-19,297.07,574.31
2021-02-22,294.52,566.62
2021-02-23,294.35,548.14
2021-02-24,298.61,551.41
2021-02-25,288.92,552.97
2021-02-26,289.59,539.3
2021-03-01,298.62,554.42
2021-03-02,295.93,557.94
2021-03-03,291.76,550.38
2021-03-04,288.67,537.01
2021-03-05,297.56,536.15
2021-03-08,297.23,539.49
2021-03-09,300.82,542.38
2021-03-10,302.32,548.73
2021-03-11,303.87,552.56
2021-03-12,304.79,551.69
2021-03-15,307.32,554.12
2021-03-16,307.41,563.36
2021-03-17,308.03,554.64
2021-03-18,302.97,556.77
2021-03-19,303.2,553.12
2021-03-22,304.75,555.14
2021-03-23,303.96,557.61
2021-03-24,303.38,550.18
2021-03-25,306.38,536.03
2021-03-26,310.92,538.69
2021-03-29,311.52,541.91
2021-03-30,311.58,543.58
2021-03-31,312.05,549.44
2021-04-01,315.47,561.27
2021-04-06,317.62,565.77
2021-04-07,316.45,560.72
2021-04-08,317.91,565.62
2021-04-09,320.59,562.5
2021-04-12,320.03,563.0
2021-04-13,320.6,566.17
2021-04-14,318.2,568.25
2021-04-15,321.65,565.93
2021-04-16,322.56,564.91
2021-04-19,319.77,564.38
2021-04-20,316.84,556.8
2021-04-21,320.32,552.52
2021-04-22,317.55,557.42
2021-04-23,320.3,557.75
2021-04-26,319.99,559.84
2021-04-27,319.94,561.78
2021-04-28,319.46,564.93
2021-04-29,321.02,561.04
2021-04-30,320.68,556.11
2021-05-03,320.58,552.89
2021-05-04,319.56,542.25
2021-05-05,320.51,545.8
2021-05-06,321.7,534.88
2021-05-07,321.89,540.78
2021-05-10,318.05,529.78
2021-05-11,315.25,523.47
2021-05-12,310.7,525.61
2021-05-14,317.68,521.19
2021-05-17,316.6,524.94
2021-05-18,312.04,522.21
2021-05-19,311.23,513.2
2021-05-20,314.53,526.01
2021-05-21,314.99,530.87
2021-05-25,316.0,532.42
2021-05-26,317.29,535.33
2021-05-27,318.09,533.9
2021-05-28,318.88,540.61
2021-06-01,317.08,539.13
2021-06-02,318.54,538.56
2021-06-03,319.24,535.6
2021-06-04,321.35,538.56
2021-06-07,320.48,539.75
2021-06-08,320.55,542.19
2021-06-09,320.0,541.2
2021-06-10,321.85,543.92
2021-06-11,324.12,547.4
2021-06-14,324.38,550.39
2021-06-15,323.68,550.33
2021-06-16,322.13,549.38
2021-06-17,326.77,556.81
2021-06-18,324.83,559.48
2021-06-21,327.86,556.06
2021-06-22,329.87,558.62
2021-06-24,330.68,566.07
2021-06-25,331.1,567.07
2021-06-28,332.55,572.69
2021-06-29,333.26,576.0
2021-06-30,335.0,576.59
2021-07-01,336.51,575.38
2021-07-02,339.78,576.9
2021-07-06,339.46,575.49
2021-07-07,341.48,578.35
2021-07-08,337.04,563.58
2021-07-09,340.55,566.54
2021-07-12,341.62,569.82
2021-07-13,341.66,576.35
2021-07-14,342.25,576.58
2021-07-15,341.15,573.77
2021-07-16,338.85,569.78
2021-07-19,333.57,554.52
2021-07-20,339.85,560.12
2021-07-21,341.89,565.63
2021-07-22,342.48,569.96
2021-07-23,346.88,573.53
2021-07-26,346.32,569.42
2021-07-27,344.18,562.71
2021-07-28,344.86,566.61
2021-07-29,343.87,564.36
2021-07-30,342.79,557.64
2021-08-02,341.47,554.5
2021-08-03,344.91,550.23
2021-08-04,343.71,554.0
2021-08-05,346.01,554.57
2021-08-06,348.92,559.45
2021-08-09,349.06,558.03
2021-08-10,350.15,564.1
2021-08-11,350.44,558.0
2021-08-12,351.82,555.53
2021-08-13,350.5,553.79
2021-08-16,351.55,549.04
2021-08-17,351.23,544.27
2021-08-18,347.65,547.58
2021-08-19,348.97,541.52
2021-08-20,351.9,546.45
2021-08-23,353.08,546.77
2021-08-24,353.0,558.22
2021-08-25,354.05,558.62
2021-08-26,351.9,561.2
2021-08-27,354.06,555.1
2021-08-30,355.2,556.85
2021-08-31,354.58,559.94
2021-09-01,353.21,567.72
2021-09-02,353.85,567.98
2021-09-03,353.34,564.86
2021-09-07,353.18,572.08
2021-09-08,353.72,571.28
2021-09-09,351.94,566.23
2021-09-10,348.73,565.69
2021-09-13,350.25,557.71
2021-09-14,347.96,554.66
2021-09-15,350.98,550.0
2021-09-16,352.09,552.59
2021-09-17,349.66,557.41
2021-09-20,344.07,547.46
2021-09-21,343.81,546.71
2021-09-22,346.82,547.84
2021-09-23,350.56,552.53
2021-09-24,352.14,552.9
2021-09-27,351.56,551.91
2021-09-28,345.22,548.14
2021-09-29,347.5,547.05
2021-09-30,344.14,545.28
2021-10-01,347.87,542.29
2021-10-04,342.55,536.86
2021-10-05,347.11,537.32
2021-10-06,350.06,536.07
2021-10-07,352.47,552.74
2021-10-08,351.38,553.43
2021-10-11,349.01,553.46
2021-10-12,348.87,547.41
2021-10-13,349.16,549.59
2021-10-14,354.68,554.72
2021-10-15,356.83,559.11
2021-10-18,358.16,558.73
2021-10-19,359.47,563.32
2021-10-20,360.7,567.28
2021-10-21,361.84,567.17
2021-10-22,361.44,567.79
2021-10-25,364.2,564.15
2021-10-26,365.46,565.69
2021-10-27,363.55,561.39
2021-10-28,364.61,552.87
2021-10-29,368.62,551.76
2021-11-02,370.41,553.12
2021-11-03,372.65,555.43
2021-11-04,375.51,564.0
2021-11-05,376.63,564.66
2021-11-08,375.85,563.95
2021-11-09,374.69,557.13
2021-11-10,373.81,562.28
2021-11-11,375.56,564.85
2021-11-12,379.17,564.94
2021-11-15,379.96,571.64
2021-11-16,383.8,576.37
2021-11-17,384.29,573.87
2021-11-18,384.23,565.1
2021-11-19,384.75,565.85
2021-11-22,385.96,563.75
2021-11-23,386.02,555.42
2021-11-24,389.22,551.03
2021-11-26,376.38,544.36
2021-11-29,382.93,543.39
2021-11-30,376.12,536.46
2021-12-01,369.14,533.22
2021-12-02,374.97,526.03
2021-12-03,373.04,514.84
2021-12-06,377.74,518.92
2021-12-07,386.36,538.46
2021-12-08,384.63,535.76
2021-12-09,383.49,537.66
2021-12-10,386.5,531.84
2021-12-13,383.95,528.65
2021-12-14,381.19,522.36
2021-12-15,388.17,516.92
2021-12-16,382.9,523.64
2021-12-17,380.07,514.09
2021-12-20,375.24,513.87
2021-12-21,382.84,519.06
2021-12-22,384.68,526.61
2021-12-23,387.59,529.57
2021-12-27,392.59,531.39
2021-12-28,392.96,534.73
2021-12-29,391.65,526.74
2021-12-30,391.17,530.7
2021-12-31,388.74,531.71
2022-01-03,393.99,527.53
2022-01-04,393.14,531.61
2022-01-05,384.62,523.83
2022-01-06,385.64,513.12
2022-01-07,382.37,520.09
2022-01-10,382.76,506.75
2022-01-11,385.56,515.84
2022-01-12,383.93,524.99
2022-01-13,377.17,518.37
2022-01-14,378.38,510.54
2022-01-18,374.39,507.54
2022-01-19,370.7,510.42
2022-01-20,366.52,517.09
2022-01-21,359.62,498.42
2022-01-24,361.82,482.27
2022-01-25,358.52,483.65
2022-01-26,357.71,492.28
2022-01-27,360.04,490.18
2022-01-28,368.27,478.31
2022-01-31,373.74,500.54
2022-02-01,375.0,506.04
2022-02-02,376.93,504.28
2022-02-03,363.85,486.82
2022-02-04,364.96,486.31
2022-02-07,363.52,491.9
2022-02-08,367.38,486.88
2022-02-09,372.47,497.25
2022-02-10,364.52,503.1
2022-02-11,359.6,497.38
2022-02-14,361.24,489.04
2022-02-15,365.42,495.17
2022-02-16,365.51,490.79
2022-02-17,357.66,489.3
2022-02-18,355.98,480.41
2022-02-22,352.58,470.02
2022-02-23,346.38,464.93
2022-02-24,358.23,454.59
2022-02-25,361.97,465.35
2022-02-28,361.54,471.87
2022-03-01,358.84,476.53
2022-03-02,367.99,473.21
2022-03-03,366.25,475.77
2022-03-04,368.09,466.39
2022-03-07,358.65,455.57
2022-03-08,356.05,440.04
2022-03-09,359.68,449.11
2022-03-10,359.04,446.37
2022-03-11,356.09,441.05
2022-03-14,353.06,433.88
2022-03-15,360.82,430.08
2022-03-16,368.25,453.94
2022-03-17,368.93,453.16
2022-03-18,375.28,469.2
2022-03-21,375.08,465.74
2022-03-22,380.26,479.88
2022-03-23,376.29,479.32
2022-03-24,381.5,471.24
2022-03-25,384.23,473.26
2022-03-28,387.51,479.74
2022-03-29,387.56,483.82
2022-03-30,383.0,481.3
2022-03-31,378.29,475.95
2022-04-01,382.66,480.13
2022-04-04,387.16,491.89
2022-04-05,384.36,494.04
2022-04-06,381.29,475.26
2022-04-07,383.22,474.53
2022-04-08,383.55,470.78
2022-04-11,376.25,465.47
2022-04-12,375.79,471.04
2022-04-13,380.94,465.69
2022-04-14,378.79,469.14
2022-04-19,384.43,459.31
2022-04-20,381.42,452.71
2022-04-21,376.54,448.42
2022-04-22,368.44,438.27
2022-04-25,372.88,430.27
2022-04-26,364.32,432.04
2022-04-27,369.7,438.58
2022-04-28,378.9,437.13
2022-04-29,364.02,451.82
2022-05-02,367.0,438.77
2022-05-03,368.23,439.5
2022-05-04,378.86,432.95
2022-05-05,366.01,434.96
2022-05-06,362.17,410.69
2022-05-10,352.79,404.63
2022-05-11,346.87,406.83
2022-05-12,350.98,398.29
2022-05-13,360.0,416.55
2022-05-16,358.25,414.7
2022-05-17,360.92,417.77
2022-05-18,347.16,414.32
2022-05-19,342.67,407.25
2022-05-20,343.81,414.77
2022-05-23,346.58,405.9
2022-05-24,341.91,393.68
2022-05-25,346.65,398.42
2022-05-27,361.32,416.7
2022-05-31,358.98,421.04
2022-06-01,357.82,427.59
2022-06-02,362.79,422.32
2022-06-03,356.69,428.32
2022-06-07,361.76,428.18
2022-06-08,357.0,437.47
2022-06-09,351.18,435.12
2022-06-10,344.84,423.13
2022-06-13,334.89,404.6
