index,LU0474966081,LU0340554673,LU0474966677,LU0303494743,LU0386875149,LU0625737753,LU0303494743
2022-05-13,360.0,416.55,163.84,176.29,347.09,117.66,176.29
2022-05-16,358.25,414.7,162.72,176.45,346.6,117.63,176.45
2022-05-17,360.92,417.77,162.12,173.92,347.88,120.63,173.92
2022-05-18,347.16,414.32,163.31,174.77,345.88,120.64,174.77
2022-05-19,342.67,407.25,163.14,174.55,337.4,117.34,174.55
2022-05-20,343.81,414.77,162.67,175.04,343.79,121.24,175.04
2022-05-23,346.58,405.9,163.61,173.31,339.99,118.62,173.31
2022-05-24,341.91,393.68,162.01,173.79,335.03,114.62,173.79
2022-05-25,346.65,398.42,162.91,174.26,337.33,115.56,174.26
2022-05-27,361.32,416.7,163.09,174.11,349.05,118.83,174.11
2022-05-31,358.98,421.04,164.29,172.41,350.13,124.43,172.41
2022-06-01,357.82,427.59,164.43,171.97,351.66,123.98,171.97
2022-06-07,361.76,428.18,161.76,169.83,351.37,127.21,169.83
2022-06-08,357.0,437.47,161.89,168.84,354.28,131.27,168.84
2022-06-09,351.18,435.12,162.1,168.97,351.29,130.69,168.97
2022-06-10,344.84,423.13,161.28,168.92,342.24,132.62,168.92
2022-06-13,334.89,404.6,158.62,167.8,330.94,128.64,167.8
