index,p
2019-06-14,100.0
2019-06-17,100.1816197609674086166364759
2019-06-18,101.3272302387182325090227720
2019-06-19,101.5981683266556579524660428
2019-06-20,102.1986499652800126341882226
2019-06-21,101.3004537709640850720406372
2019-06-24,100.7933141544508711085425145
2019-06-25,100.7302753950339423354466407
2019-06-26,100.2940946726016804994730018
2019-06-27,100.6512576776738640667084972
2019-06-28,100.7428654892607732952300883
2019-07-01,102.6387558255522726766061767
2019-07-02,102.7985987367296733149805693
2019-07-03,103.2977040896647096314684486
2019-07-05,103.4592152641221412122164324
2019-07-08,103.1046285314365528694489293
2019-07-09,102.8233301819510463604627928
2019-07-10,103.0956715460280761994636692
2019-07-11,103.1651519855033948675964362
2019-07-12,102.9882100551371214535954020
2019-07-16,103.4739160036758151064059997
2019-07-17,103.2762022617536865114282657
2019-07-18,102.3078257127194921519975827
2019-07-19,103.3100670519669126761029901
2019-07-22,102.8625568526165121964312490
2019-07-23,103.7107231323534780084359317
2019-07-24,104.4101137804337986626409814
2019-07-25,104.3098176480387717647868548
2019-07-26,104.6925435202076551086391851
2019-07-29,104.5165625022548986064277576
2019-07-30,104.1052590822682776034260026
2019-07-31,104.0260756354348202887879106
2019-08-01,104.5366686932583686416334114
2019-08-02,102.7295545221344922242361164
2019-08-05,99.98292430014721012922135111
2019-08-06,99.75721501428169930941056160
2019-08-07,98.89248009438012861869635540
2019-08-08,100.5378391570211021167697718
2019-08-09,101.0630445502038095437199944
2019-08-13,101.0088828419244634201001299
2019-08-14,100.1447742017975268619694724
2019-08-16,100.6226646072351252520096013
2019-08-19,101.6839478475977488722423281
2019-08-20,102.0144441726455104651179192
2019-08-21,102.1978682824861484663385038
2019-08-22,102.2656977169913501641408016
2019-08-23,101.9670328730261349821093584
2019-08-26,100.5543844718794591030436454
2019-08-27,101.4749163238388530909515102
2019-08-28,100.9429155679575724833455870
2019-08-29,102.1375467943542807063529392
2019-08-30,103.0861966915037568832898542
2019-09-03,103.5693192113973058900957741
2019-09-04,103.3607435455406638904486126
2019-09-05,104.1774903496715943377580221
2019-09-06,104.5434549846917753799239842
2019-09-09,104.5333878023125231296090605
2019-09-10,103.8764849059773171666351944
2019-09-11,105.3107375530206384152467998
2019-09-12,105.9798512838289279152978422
2019-09-13,105.9543847553709291647325178
2019-09-17,105.9742048649407528095310358
2019-09-18,105.6753682512702680472319665
2019-09-19,106.1285098238912487497961035
2019-09-20,106.3136986114070811915505351
2019-09-24,106.4889614056597796608248586
2019-09-25,105.3796673632435330932029375
2019-09-26,106.3657135488626147602534666
2019-09-27,106.2911793269570570292177299
2019-09-30,105.9651898825793999837131742
2019-10-01,106.5178890671487631257677689
2019-10-02,104.4348900007863974676941132
2019-10-03,103.6557673318294573587372232
2019-10-04,104.7858698492341941768375788
2019-10-07,104.8300738810254631057620847
2019-10-08,104.2458962079351527893650634
2019-10-09,104.1533831706042122393451134
2019-10-10,104.2219534308922365216050898
2019-10-11,105.3606875407321031004240010
2019-10-15,106.2766248067595066884055105
2019-10-16,106.0950659494227076875673200
2019-10-17,105.8369116370112835789120976
2019-10-18,105.3994196908558695476183198
2019-10-21,105.3661340320071128234742646
2019-10-23,105.6946799899604476793117814
2019-10-24,105.8592330723079335379959380
2019-10-25,106.2076549191444987917818288
2019-10-28,107.0540680845287270568399052
2019-10-29,106.9741496118943897801724357
2019-10-30,106.8773788424063484106296111
2019-10-31,106.8784349982262347866325225
2019-11-05,108.7198954361677974266163415
2019-11-06,108.6394634732837772441993431
2019-11-07,109.1035289186699074215532219
2019-11-08,109.1106179400615949013874636
2019-11-11,109.1338276122803396254501071
2019-11-12,109.7167959808124747172812844
2019-11-13,109.3358918292649149628905577
2019-11-14,109.2758318395978365521583784
2019-11-15,109.3658638905601158540018538
2019-11-18,109.3854007520911622229232766
2019-11-19,109.3840849469336100287209738
2019-11-20,109.2739973004650476730468988
2019-11-21,108.7659976014410859526788637
2019-11-22,109.2602776517034227132044449
2019-11-25,110.3007455852691315058632185
2019-11-26,110.5585529210599974549390666
2019-11-27,111.0619044185388327303289961
2019-11-29,110.6484844958076677035274851
2019-12-02,109.9699429845620615109350981
2019-12-03,108.8075573668360383804398905
2019-12-04,109.5452840249554799458271885
2019-12-05,109.5231197917728399280812239
2019-12-06,110.5317880409191702775987296
2019-12-09,110.6700798680775656367338077
2019-12-10,110.1768202201470045195467924
2019-12-11,110.0607098393959999725509932
2019-12-12,110.2447915694653610531698110
2019-12-13,110.5371249688672847501388854
2019-12-16,111.3432332436190498636486989
2019-12-17,111.4492321928549623771613648
2019-12-18,111.7347572817615186394184236
2019-12-19,111.8116804886745850940483153
2019-12-20,112.6432768522636535953398602
2019-12-23,112.8432836576486191701202164
2019-12-27,112.6156037470571417253747324
2019-12-30,111.7396038679221182056988461
2019-12-31,111.7644513095054827933538761
2020-01-06,111.6860370746724745092295300
2020-01-07,112.8092959124532309146671731
2020-01-08,112.8740251528734992694582121
2020-01-09,114.0315878574632173384511315
2020-01-10,114.4290581877893927302572387
2020-01-14,114.4700064396623029714787536
2020-01-15,114.4773255531852429198273161
2020-01-16,114.6407549711502150206980726
2020-01-17,115.6134045114446452244147049
2020-01-21,115.3049668254281569252447009
2020-01-22,116.3763539323969798664731767
2020-01-23,115.5650396423913805792116262
2020-01-24,116.5434571185529486875933894
2020-01-27,114.1651934009842847272268180
2020-01-28,114.3704870584351231881899149
2020-01-29,114.9731861198771192610250572
2020-01-30,113.5695749554565489998982476
2020-01-31,113.1971796548474521059319196
