index,p
2018-01-04,1.0
2018-01-05,1.0079061343733984
2018-01-09,1.0229191055285352
2018-01-10,1.0226136022361687
2018-01-11,1.021897990434765
2018-01-12,1.0136604584085152
2018-01-16,1.0133798438892616
2018-01-17,1.013457697081979
2018-01-18,1.0080924179833062
2018-01-19,1.0151852777339099
2018-01-22,1.0193240640184558
2018-01-23,1.0262111190357217
2018-01-24,1.020472089476453
2018-01-25,1.0116316413198603
2018-01-26,1.0159990250462878
2018-01-29,1.0191346701356954
2018-01-30,1.007259547658985
2018-01-31,0.9985189453732741
2018-02-01,1.001093601558974
2018-02-02,0.9879966986456705
2018-02-05,0.9635956494526796
2018-02-06,0.9550557920631058
2018-02-07,0.9625483332268379
2018-02-08,0.9542650661390981
2018-02-09,0.9497976394869809
2018-02-13,0.9533825050323972
2018-02-14,0.9580526801917566
2018-02-15,0.9660738107145317
2018-02-16,0.975199570335631
2018-02-20,0.984764127633939
2018-02-21,0.9839269121708212
2018-02-22,0.9808249347699878
2018-02-23,0.9930694886062492
2018-02-26,1.0002927990917312
2018-02-27,0.9988173675927243
2018-02-28,0.9946030971721377
2018-03-01,0.9844566709319476
2018-03-02,0.9737343739256099
2018-03-05,0.9749928907133789
2018-03-06,0.9782968003686553
2018-03-07,0.9762761635236925
2018-03-08,0.9831146582145729
2018-03-09,0.9915599243684629
2018-03-12,1.001232235320432
2018-03-13,0.9915786853297728
2018-03-14,0.9944404029358964
2018-03-15,0.9990245885719643
2018-03-16,1.000187978545723
2018-03-19,0.9860126229794313
2018-03-20,0.9853018821228057
2018-03-22,0.976765996307059
2018-03-23,0.9523265735573982
2018-03-26,0.9573328565630013
2018-03-27,0.9583589916175241
2018-03-28,0.9557723010052613
2018-03-29,0.9633710261546247
2018-04-03,0.9577989123719309
2018-04-04,0.9635614439801439
2018-04-05,0.9716446234069631
2018-04-06,0.9615173386149591
2018-04-09,0.9635501758853376
2018-04-10,0.9701277625970227
2018-04-11,0.9634078379548929
2018-04-12,0.9679079909909577
2018-04-13,0.9656809983805568
2018-04-16,0.9691677833839258
2018-04-17,0.9775669446327901
2018-04-18,0.9822172299387482
2018-04-19,0.980241718640584
2018-04-20,0.9804962482969694
2018-04-23,0.9819660732734647
2018-04-24,0.9787968561739842
2018-04-25,0.9759629666479446
2018-04-26,0.984935302575603
