index,LU0340554673,LU0474966677,LU0386875149
2021-01-04,504.27,162.35,349.61
2021-01-05,504.47,162.13,347.04
2021-01-06,499.34,161.6,348.35
2021-01-07,502.5,164.26,354.28
2021-01-08,509.33,166.84,360.05
2021-01-12,512.98,167.86,360.0
2021-01-13,513.33,168.49,359.45
2021-01-14,521.7,169.49,361.91
2021-01-15,519.79,169.09,359.55
2021-01-19,520.91,168.72,360.86
2021-01-20,534.61,168.4,365.27
2021-01-21,534.02,169.84,364.2
2021-01-22,533.66,168.69,362.93
2021-01-25,542.2,169.13,365.72
2021-01-26,535.62,168.22,363.53
2021-01-27,529.53,169.38,355.44
2021-01-28,526.06,166.6,355.28
2021-01-29,519.39,162.83,353.34
2021-02-01,526.41,165.26,355.97
2021-02-02,540.73,167.06,364.29
2021-02-03,548.38,169.37,366.14
2021-02-04,551.45,168.84,367.4
2021-02-05,554.0,170.93,369.75
2021-02-08,557.51,173.0,373.01
2021-02-09,559.33,173.78,372.36
2021-02-10,565.7,173.99,373.95
2021-02-12,568.63,174.18,375.8
2021-02-16,576.2,176.28,378.69
2021-02-17,574.54,175.91,375.41
2021-02-18,568.98,174.8,371.17
2021-02-19,574.31,173.27,372.92
2021-02-22,566.62,173.61,368.67
2021-02-24,551.41,169.65,362.91
2021-02-25,552.97,170.47,363.8
2021-02-26,539.3,165.74,357.49
2021-03-01,554.42,169.54,364.94
2021-03-02,557.94,168.86,366.36
2021-03-03,550.38,168.68,359.57
2021-03-04,537.01,166.6,354.0
2021-03-05,536.15,167.19,351.91
2021-03-08,539.49,167.61,358.28
2021-03-09,542.38,168.8,362.04
2021-03-10,548.73,169.14,364.54
2021-03-11,552.56,168.93,366.61
2021-03-12,551.69,171.17,367.18
2021-03-15,554.12,172.21,368.81
2021-03-16,563.36,172.97,372.73
2021-03-17,554.64,173.57,367.96
2021-03-18,556.77,175.52,368.56
2021-03-19,553.12,176.3,366.14
2021-03-22,555.14,174.01,366.81
2021-03-23,557.61,173.44,367.37
2021-03-24,550.18,170.44,365.54
2021-03-25,536.03,172.12,358.38
2021-03-26,538.69,174.46,365.39
2021-03-29,541.91,175.45,368.19
2021-03-30,543.58,175.0,367.75
2021-03-31,549.44,172.69,372.29
2021-04-01,561.27,172.64,376.7
2021-04-06,565.77,171.86,379.35
2021-04-07,560.72,172.75,376.96
2021-04-08,565.62,172.47,378.34
2021-04-09,562.5,172.57,378.92
2021-04-12,563.0,172.35,378.32
2021-04-13,566.17,172.82,379.5
2021-04-14,568.25,171.96,381.58
2021-04-15,565.93,172.61,381.13
2021-04-16,564.91,172.67,382.85
2021-04-19,564.38,172.63,382.15
2021-04-20,556.8,169.04,379.26
2021-04-21,552.52,167.05,378.23
2021-04-22,557.42,169.79,381.13
2021-04-23,557.75,169.18,381.26
2021-04-26,559.84,169.2,383.54
2021-04-27,561.78,167.34,383.71
2021-04-28,564.93,167.08,383.94
2021-04-30,556.11,165.63,380.18
2021-05-06,534.88,168.56,372.34
2021-05-07,540.78,168.3,375.89
2021-05-10,529.78,169.34,373.5
2021-05-11,523.47,165.12,366.94
2021-05-12,525.61,163.4,366.57
2021-05-14,521.19,163.29,365.67
2021-05-17,524.94,162.52,366.03
2021-05-18,522.21,164.7,365.98
2021-05-19,513.2,163.4,359.25
2021-05-20,526.01,163.96,366.45
2021-05-21,530.87,164.69,371.28
2021-05-25,532.42,165.52,370.0
2021-05-26,535.33,165.77,370.74
2021-05-27,533.9,165.46,371.67
2021-05-28,540.61,167.57,375.59
2021-06-01,539.13,165.59,374.02
2021-06-02,538.56,167.42,373.01
2021-06-03,535.6,168.65,370.01
2021-06-04,538.56,169.11,372.27
2021-06-07,539.75,169.69,373.37
2021-06-08,542.19,169.4,374.98
2021-06-09,541.2,168.66,375.45
2021-06-10,543.92,168.9,376.9
2021-06-11,547.4,168.91,379.56
2021-06-14,550.39,169.9,380.17
2021-06-15,550.33,170.56,379.8
2021-06-16,549.38,170.74,379.57
2021-06-17,556.81,170.98,381.76
2021-06-18,559.48,170.96,382.47
2021-06-21,556.06,167.04,381.66
2021-06-22,558.62,172.02,383.74
2021-06-24,566.07,169.49,386.65
2021-06-25,567.07,170.98,387.6
2021-06-28,572.69,171.24,389.46
2021-06-29,576.0,170.84,391.97
2021-06-30,576.59,170.59,391.32
2021-07-01,575.38,169.29,391.32
2021-07-02,576.9,171.17,393.53
2021-07-06,575.49,171.87,393.65
2021-07-07,578.35,170.7,396.28
2021-07-08,563.58,170.5,388.06
2021-07-09,566.54,169.23,391.65
2021-07-12,569.82,172.71,393.98
2021-07-13,576.35,173.77,395.36
2021-07-14,576.58,173.68,394.58
2021-07-15,573.77,171.94,391.25
2021-07-16,569.78,171.0,390.72
2021-07-19,554.52,169.94,381.86
2021-07-20,560.12,168.61,387.39
2021-07-21,565.63,169.28,391.74
2021-07-26,569.42,170.33,395.07
2021-07-27,562.71,171.8,391.66
2021-07-28,566.61,169.95,394.05
2021-07-29,564.36,170.12,395.09
2021-07-30,557.64,167.89,394.91
2021-08-02,554.5,171.29,395.35
2021-08-03,550.23,171.28,393.74
2021-08-04,554.0,170.98,396.58
2021-08-05,554.57,171.65,398.61
2021-08-06,559.45,171.6,399.46
2021-08-10,564.1,172.23,401.82
2021-08-11,558.0,173.62,400.43
2021-08-12,555.53,173.6,399.14
2021-08-13,553.79,173.95,399.46
2021-08-16,549.04,172.21,396.61
2021-08-17,544.27,171.71,395.47
2021-08-18,547.58,172.66,397.28
2021-08-19,541.52,170.5,393.22
2021-08-20,546.45,169.36,395.41
2021-08-23,546.77,171.14,398.01
2021-08-24,558.22,173.19,400.85
2021-08-25,558.62,172.87,401.83
2021-08-26,561.2,171.91,402.6
2021-08-27,555.1,171.58,401.73
2021-08-30,556.85,173.03,404.14
2021-08-31,559.94,173.7,403.02
2021-09-01,567.72,175.05,403.88
2021-09-02,567.98,175.43,406.2
2021-09-03,564.86,178.14,404.6
2021-09-07,572.08,182.45,405.44
2021-09-08,571.28,184.1,405.05
2021-09-09,566.23,183.0,404.95
2021-09-10,565.69,185.08,404.35
2021-09-13,557.71,185.96,401.83
2021-09-14,554.66,187.44,400.52
2021-09-15,550.0,186.82,398.29
2021-09-16,552.59,186.91,400.33
2021-09-17,557.41,186.65,400.96
2021-09-21,546.71,184.91,396.4
2021-09-22,547.84,183.4,397.31
2021-09-24,552.9,185.91,400.82
2021-09-27,551.91,185.5,399.03
2021-09-28,548.14,184.67,393.21
2021-09-29,547.05,182.1,392.63
2021-09-30,545.28,181.45,393.6
2021-10-01,542.29,179.0,388.05
2021-10-04,536.86,177.03,388.18
2021-10-05,537.32,174.87,387.08
2021-10-06,536.07,174.52,385.63
2021-10-07,552.74,174.36,394.29
2021-10-08,553.43,175.59,392.62
2021-10-11,553.46,177.25,391.14
2021-10-12,547.41,175.63,390.2
2021-10-13,549.59,174.37,391.73
2021-10-14,554.72,175.36,396.16
2021-10-15,559.11,177.09,399.84
2021-10-18,558.73,176.98,397.06
2021-10-19,563.32,176.78,398.86
2021-10-20,567.28,177.04,400.83
2021-10-21,567.17,174.9,401.24
2021-10-22,567.79,175.46,404.65
2021-10-25,564.15,175.38,404.52
2021-10-26,565.69,177.04,406.12
2021-10-27,561.39,177.71,404.45
2021-10-28,552.87,176.24,402.27
2021-10-29,551.76,175.47,404.32
2021-11-02,553.12,179.25,408.68
2021-11-04,564.0,181.76,415.5
2021-11-05,564.66,180.9,416.43
2021-11-08,563.95,180.38,415.1
2021-11-09,557.13,179.63,412.31
2021-11-10,562.28,178.51,414.06
2021-11-11,564.85,179.65,414.8
2021-11-12,564.94,182.13,416.36
2021-11-15,571.64,183.3,418.73
2021-11-16,576.37,184.47,421.71
2021-11-17,573.87,183.51,422.42
2021-11-18,565.1,183.89,421.48
2021-11-19,565.85,185.72,422.84
2021-11-22,563.75,185.43,423.45
2021-11-24,551.03,183.1,414.52
2021-11-26,544.36,180.61,410.58
2021-11-29,543.39,178.3,411.53
2021-11-30,536.46,176.06,406.35
2021-12-01,533.22,176.52,406.15
2021-12-02,526.03,176.09,402.21
2021-12-03,514.84,178.68,401.37
2021-12-06,518.92,177.79,400.9
2021-12-07,538.46,181.39,414.0
2021-12-08,535.76,182.57,412.32
2021-12-09,537.66,180.96,413.16
2021-12-10,531.84,180.04,410.34
2021-12-13,528.65,180.47,409.5
2021-12-14,522.36,179.48,404.58
2021-12-15,516.92,180.86,402.38
2021-12-16,523.64,182.61,408.75
2021-12-17,514.09,180.62,402.26
2021-12-20,513.87,177.57,399.12
2021-12-21,519.06,179.74,403.34
2021-12-22,526.61,178.88,406.38
2021-12-23,529.57,179.99,411.56
2021-12-27,531.39,178.6,412.55
2021-12-28,534.73,180.6,417.48
2021-12-29,526.74,180.34,414.55
2021-12-30,530.7,179.06,417.52
2021-12-31,531.71,178.94,416.86
2022-01-04,531.61,181.92,416.75
2022-01-05,523.83,182.79,411.87
2022-01-06,513.12,178.68,400.76
2022-01-07,520.09,178.68,402.57
2022-01-11,515.84,177.91,394.94
2022-01-12,524.99,180.32,399.68
2022-01-13,518.37,178.94,396.62
2022-01-14,510.54,177.4,389.55
2022-01-18,507.54,177.53,384.94
2022-01-19,510.42,173.15,387.44
2022-01-20,517.09,175.25,386.41
2022-01-21,498.42,174.68,375.06
2022-01-24,482.27,175.27,363.39
2022-01-25,483.65,172.26,364.78
2022-01-26,492.28,171.74,372.52
2022-01-27,490.18,167.24,370.97
2022-01-28,478.31,170.53,360.02
2022-01-31,500.54,171.76,374.02
2022-02-01,506.04,171.55,378.15
2022-02-02,504.28,174.78,379.42
2022-02-03,486.82,173.13,371.69
2022-02-04,486.31,170.87,366.88
2022-02-07,491.9,171.04,370.14
2022-02-08,486.88,171.19,367.24
2022-02-09,497.25,172.3,376.85
2022-02-10,503.1,172.71,377.26
2022-02-14,489.04,172.45,368.3
2022-02-15,495.17,169.53,372.06
2022-02-16,490.79,171.93,369.22
2022-02-17,489.3,171.61,367.81
2022-02-18,480.41,171.0,365.53
2022-02-22,470.02,167.58,360.15
2022-02-24,454.59,168.28,350.02
2022-02-25,465.35,169.18,359.02
2022-02-28,471.87,168.88,365.03
2022-03-01,476.53,171.53,367.02
2022-03-02,473.21,168.82,366.16
2022-03-03,475.77,170.29,368.62
2022-03-04,466.39,168.72,364.2
2022-03-07,455.57,166.86,360.08
2022-03-08,440.04,162.2,350.06
2022-03-09,449.11,160.75,355.24
2022-03-10,446.37,166.03,355.91
2022-03-11,441.05,162.58,358.15
2022-03-14,433.88,162.28,355.73
2022-03-15,430.08,162.9,352.4
2022-03-16,453.94,165.26,363.85
2022-03-17,453.16,168.39,365.03
2022-03-18,469.2,168.89,373.18
2022-03-22,479.88,169.37,377.32
2022-03-23,479.32,173.4,375.37
2022-03-24,471.24,173.03,372.0
2022-03-25,473.26,172.4,373.98
2022-03-28,479.74,168.73,376.85
2022-03-29,483.82,170.35,380.09
2022-03-30,481.3,170.88,379.05
2022-03-31,475.95,169.34,377.73
2022-04-01,480.13,169.2,377.34
2022-04-04,491.89,170.49,381.25
2022-04-05,494.04,170.17,383.37
2022-04-06,475.26,167.61,373.17
2022-04-07,474.53,165.47,375.62
2022-04-08,470.78,165.66,375.31
2022-04-11,465.47,162.55,372.4
2022-04-12,471.04,160.65,374.15
2022-04-13,465.69,162.96,371.32
2022-04-14,469.14,164.2,375.12
2022-04-19,459.31,161.1,370.11
2022-04-20,452.71,162.31,373.5
2022-04-21,448.42,162.59,374.98
2022-04-22,438.27,161.78,365.45
2022-04-25,430.27,160.66,358.63
2022-04-26,432.04,161.88,362.05
2022-04-27,438.58,161.33,363.25
2022-04-28,437.13,162.57,363.92
2022-05-02,438.77,163.29,361.12
2022-05-06,410.69,163.41,344.22
