index,LU0340554673,LU0474966677,LU0303494743
2018-01-04,330.6,143.93,163.95
2018-01-05,335.11,144.46,164.2
2018-01-09,338.47,147.21,164.82
2018-01-10,335.02,148.57,164.63
2018-01-11,334.65,148.47,164.01
2018-01-12,334.73,146.19,163.39
2018-01-16,331.57,147.18,163.41
2018-01-17,332.23,146.78,163.03
2018-01-18,332.16,145.13,162.83
2018-01-19,333.85,146.27,163.06
2018-01-22,336.69,146.57,162.86
2018-01-23,337.92,148.32,162.85
2018-01-24,335.24,147.84,162.33
2018-01-25,333.5,146.21,161.63
2018-01-26,339.77,145.07,162.17
2018-01-29,339.14,146.24,162.12
2018-01-30,335.0,144.59,161.63
2018-01-31,334.98,142.21,161.26
2018-02-01,332.52,143.79,160.89
2018-02-02,327.4,142.32,160.27
2018-02-05,317.2,139.68,160.64
2018-02-06,323.17,135.23,161.64
2018-02-07,324.64,136.65,161.65
2018-02-08,314.97,138.35,161.63
2018-02-09,317.42,136.16,161.82
2018-02-13,321.3,135.87,161.11
2018-02-14,327.04,135.0,160.52
2018-02-15,330.49,136.09,160.33
2018-02-16,331.47,138.01,161.08
2018-02-20,333.93,139.88,161.33
2018-02-21,334.47,139.54,161.16
2018-02-22,334.15,138.74,161.48
2018-02-23,339.31,140.3,162.1
2018-02-26,340.84,141.51,162.29
2018-02-27,336.9,142.5,162.15
2018-02-28,336.95,141.65,162.96
2018-03-01,334.1,140.17,163.25
2018-03-02,332.62,137.9,162.5
2018-03-05,337.39,136.57,162.12
2018-03-06,337.52,137.41,161.4
2018-03-07,340.1,135.86,161.45
2018-03-08,343.1,136.4,162.27
2018-03-09,347.51,136.88,161.94
2018-03-12,349.38,139.08,162.1
2018-03-13,342.7,138.74,161.75
2018-03-14,346.44,138.47,162.44
2018-03-15,347.1,139.47,162.78
2018-03-16,347.04,139.65,163.05
2018-03-19,340.28,138.09,162.76
2018-03-20,341.34,137.23,162.88
2018-03-22,329.9,139.1,163.52
2018-03-23,323.2,134.78,163.19
2018-03-26,328.28,134.31,162.37
2018-03-27,320.51,137.1,162.97
2018-03-28,318.36,136.91,163.18
2018-03-29,324.06,136.8,163.83
2018-04-03,317.95,137.25,163.81
2018-04-04,321.54,137.7,163.62
2018-04-05,325.8,138.15,163.67
2018-04-06,319.94,137.63,163.98
2018-04-09,320.27,138.15,163.45
2018-04-10,324.79,138.33,162.97
2018-04-11,322.57,137.34,163.02
2018-04-12,325.63,137.28,163.11
2018-04-13,323.29,137.36,163.05
