index,LU0474966677,LU0303494743,LU0386875149
2022-01-04,181.92,189.66,416.75
2022-01-05,182.79,189.06,411.87
2022-01-06,178.68,188.6,400.76
2022-01-07,178.68,187.79,402.57
2022-01-11,177.91,187.83,394.94
2022-01-12,180.32,187.51,399.68
2022-01-13,178.94,187.44,396.62
2022-01-14,177.4,186.72,389.55
2022-01-18,177.53,186.43,384.94
2022-01-19,173.15,186.99,387.44
2022-01-20,175.25,187.39,386.41
2022-01-21,174.68,188.12,375.06
2022-01-24,175.27,188.46,363.39
2022-01-25,172.26,188.51,364.78
2022-01-26,171.74,187.74,372.52
2022-01-27,167.24,188.63,370.97
2022-01-28,170.53,188.42,360.02
2022-01-31,171.76,187.56,374.02
2022-02-01,171.55,187.1,378.15
2022-02-02,174.78,187.06,379.42
2022-02-03,173.13,184.31,371.69
2022-02-04,170.87,182.53,366.88
2022-02-07,171.04,182.02,370.14
2022-02-08,171.19,181.62,367.24
2022-02-09,172.3,181.99,376.85
2022-02-10,172.71,180.31,377.26
2022-02-14,172.45,181.27,368.3
2022-02-15,169.53,180.28,372.06
2022-02-16,171.93,180.6,369.22
2022-02-17,171.61,181.35,367.81
2022-02-18,171.0,182.02,365.53
2022-02-22,167.58,181.26,360.15
2022-02-24,168.28,183.2,350.02
2022-02-25,169.18,181.91,359.02
2022-02-28,168.88,183.24,365.03
2022-03-01,171.53,186.64,367.02
2022-03-02,168.82,185.47,366.16
2022-03-03,170.29,185.33,368.62
2022-03-04,168.72,188.03,364.2
2022-03-07,166.86,187.47,360.08
2022-03-08,162.2,185.85,350.06
2022-03-09,160.75,182.8,355.24
2022-03-10,166.03,182.19,355.91
2022-03-11,162.58,182.54,358.15
2022-03-14,162.28,180.58,355.73
2022-03-15,162.9,180.56,352.4
2022-03-16,165.26,180.36,363.85
2022-03-17,168.39,179.44,365.03
2022-03-18,168.89,180.48,373.18
2022-03-22,169.37,178.24,377.32
2022-03-23,173.4,178.78,375.37
2022-03-24,173.03,178.24,372.0
2022-03-25,172.4,177.62,373.98
2022-03-28,168.73,177.3,376.85
2022-03-29,170.35,176.37,380.09
2022-03-30,170.88,176.22,379.05
2022-03-31,169.34,177.34,377.73
2022-04-01,169.2,177.71,377.34
2022-04-04,170.49,178.18,381.25
2022-04-05,170.17,177.28,383.37
2022-04-06,167.61,176.76,373.17
2022-04-07,165.47,176.48,375.62
2022-04-08,165.66,175.86,375.31
2022-04-11,162.55,174.53,372.4
2022-04-12,160.65,175.16,374.15
2022-04-13,162.96,175.7,371.32
2022-04-14,164.2,175.57,375.12
2022-04-19,161.1,173.62,370.11
2022-04-20,162.31,173.81,373.5
2022-04-21,162.59,173.12,374.98
2022-04-22,161.78,173.47,365.45
2022-04-25,160.66,175.21,358.63
2022-04-26,161.88,176.42,362.05
2022-04-27,161.33,177.34,363.25
2022-04-28,162.57,175.91,363.92
2022-05-06,163.41,171.81,344.22
2022-05-10,159.43,173.63,340.31
2022-05-11,158.62,174.02,339.43
2022-05-12,160.09,177.27,334.66
2022-05-13,163.84,176.29,347.09
2022-05-16,162.72,176.45,346.6
2022-05-17,162.12,173.92,347.88
2022-05-18,163.31,174.77,345.88
2022-05-19,163.14,174.55,337.4
2022-05-20,162.67,175.04,343.79
2022-05-23,163.61,173.31,339.99
2022-05-24,162.01,173.79,335.03
2022-05-25,162.91,174.26,337.33
2022-05-27,163.09,174.11,349.05
2022-05-31,164.29,172.41,350.13
2022-06-01,164.43,171.97,351.66
2022-06-07,161.76,169.83,351.37
2022-06-08,161.89,168.84,354.28
2022-06-09,162.1,168.97,351.29
2022-06-10,161.28,168.92,342.24
2022-06-13,158.62,167.8,330.94
