index,LU0340554673,LU0474966677,LU0386875149
2018-09-21,358.92,144.37,263.01
2018-09-25,353.49,145.61,260.17
2018-09-26,357.34,146.39,260.62
2018-09-27,359.5,145.7,261.58
2018-09-28,360.95,147.77,262.96
2018-10-01,361.61,146.89,263.91
2018-10-02,358.09,149.11,263.08
2018-10-03,359.59,146.6,263.01
2018-10-04,355.32,146.65,259.8
2018-10-05,351.54,146.61,257.4
2018-10-09,349.5,145.78,255.0
2018-10-10,341.24,145.26,249.02
2018-10-11,334.06,140.54,244.55
2018-10-12,340.87,140.14,244.63
2018-10-15,335.61,138.57,241.95
2018-10-16,340.01,139.53,244.67
2018-10-17,343.31,141.47,247.38
2018-10-18,342.24,140.85,246.79
2018-10-19,341.12,140.87,246.19
2018-10-22,338.64,139.92,243.79
2018-10-23,332.28,137.2,239.67
2018-10-24,336.64,137.58,243.07
2018-10-25,331.7,133.92,240.13
2018-10-26,327.73,134.86,237.85
2018-10-29,329.59,133.63,241.06
2018-10-30,322.58,135.06,237.69
2018-10-31,336.14,137.81,245.04
2018-11-02,341.66,137.78,247.86
2018-11-05,338.69,136.47,246.41
2018-11-06,342.07,138.07,247.11
2018-11-07,341.93,136.36,247.7
2018-11-08,345.3,138.89,250.73
2018-11-09,340.55,138.75,249.26
2018-11-12,336.26,139.69,247.53
2018-11-13,334.81,137.07,246.32
2018-11-14,337.25,137.31,246.53
2018-11-15,336.56,137.24,243.93
2018-11-16,335.13,136.32,244.88
2018-11-19,331.73,136.58,244.04
2018-11-20,320.15,135.74,237.85
2018-11-21,326.1,134.8,240.77
2018-11-26,332.95,135.99,243.95
2018-11-27,334.51,137.17,243.84
2018-11-28,341.4,138.02,246.39
2018-11-29,341.4,138.19,247.42
2018-11-30,342.58,138.3,248.19
2018-12-03,349.28,140.57,252.78
2018-12-04,346.6,137.39,250.31
2018-12-06,330.6,135.08,239.85
2018-12-07,339.5,135.51,243.58
2018-12-10,330.61,132.73,236.92
2018-12-11,339.62,131.44,241.88
2018-12-12,339.86,134.3,242.37
2018-12-13,339.71,134.58,242.1
2018-12-14,335.74,133.35,240.36
2018-12-17,327.97,133.5,234.7
2018-12-18,325.73,131.6,234.34
2018-12-19,327.05,130.69,233.42
2018-12-20,318.03,127.6,228.14
2018-12-21,314.51,126.55,226.12
2018-12-27,310.5,128.07,222.52
2018-12-28,316.53,127.26,227.53
2018-12-31,317.79,127.74,228.55
2019-01-04,321.3,128.61,229.07
2019-01-07,325.0,131.45,230.64
2019-01-08,330.71,131.46,234.2
2019-01-09,332.34,132.75,235.43
2019-01-10,330.57,131.66,234.78
2019-01-11,334.73,132.37,236.97
2019-01-15,338.61,134.34,238.01
2019-01-16,341.86,133.99,240.53
2019-01-17,342.37,134.28,240.41
2019-01-18,345.84,134.67,243.23
2019-01-22,344.39,135.09,243.15
2019-01-23,343.5,134.18,243.51
2019-01-24,341.64,134.54,242.71
2019-01-25,347.08,135.86,246.16
2019-01-28,341.52,134.51,243.22
2019-01-29,343.23,134.3,244.86
2019-01-30,343.41,134.06,245.04
2019-01-31,348.82,135.85,246.72
2019-02-01,348.27,135.35,247.99
2019-02-04,350.94,135.49,248.89
2019-02-05,356.69,135.81,252.54
2019-02-06,355.94,136.36,253.53
2019-02-07,353.58,135.8,251.89
2019-02-08,351.28,133.21,250.09
2019-02-12,359.3,135.86,254.92
2019-02-13,362.06,136.74,257.18
2019-02-14,358.55,136.88,256.46
2019-02-15,360.72,136.48,258.59
2019-02-19,359.26,138.07,258.23
2019-02-20,361.56,138.34,259.01
2019-02-21,357.07,138.39,258.12
2019-02-22,360.88,137.98,259.84
2019-02-25,363.09,138.8,261.61
2019-02-26,361.58,138.37,260.89
2019-02-27,361.33,138.76,259.23
2019-02-28,359.97,137.07,258.33
2019-03-01,360.82,136.72,259.58
2019-03-04,363.81,138.14,262.25
2019-03-05,363.77,137.57,260.58
2019-03-06,367.08,137.54,260.39
2019-03-07,364.57,136.44,258.92
2019-03-08,358.83,135.91,256.97
2019-03-11,366.13,136.32,260.61
2019-03-12,367.86,137.94,261.78
2019-03-13,368.86,136.53,262.61
2019-03-14,368.15,135.81,262.12
2019-03-15,369.18,136.73,262.96
2019-03-18,371.66,137.42,263.8
2019-03-19,371.07,137.57,264.35
2019-03-20,369.39,137.56,262.91
2019-03-22,374.27,139.54,264.25
2019-03-25,369.29,136.44,260.8
2019-03-26,373.35,139.31,263.9
2019-03-27,372.49,140.56,263.32
2019-03-28,370.78,138.68,263.98
2019-03-29,372.8,139.12,265.67
2019-04-01,377.43,140.66,268.79
2019-04-02,378.86,140.43,269.83
2019-04-03,382.04,140.6,271.38
2019-04-04,383.86,140.87,272.1
2019-04-05,383.95,140.98,272.43
2019-04-08,381.16,140.79,270.72
2019-04-09,382.89,140.53,270.64
2019-04-10,384.22,139.68,271.85
2019-04-11,382.84,139.61,271.36
2019-04-12,382.78,138.1,271.8
2019-04-15,382.27,139.8,272.08
2019-04-16,384.64,140.19,272.62
2019-04-17,383.03,140.16,270.64
2019-04-18,383.23,139.9,270.66
2019-04-23,390.74,140.57,273.03
2019-04-24,391.71,140.14,274.65
2019-04-25,394.44,141.69,275.21
2019-04-26,392.39,141.79,274.56
2019-05-07,389.32,140.82,273.37
2019-05-08,387.23,139.25,271.37
2019-05-10,381.67,137.19,267.98
2019-05-13,373.91,136.66,263.47
2019-05-14,375.41,136.15,265.11
2019-05-15,377.26,137.81,265.98
2019-05-16,383.05,136.77,269.4
2019-05-17,378.6,138.63,267.99
2019-05-20,372.49,138.39,264.62
2019-05-21,375.69,137.93,266.74
2019-05-22,375.17,137.0,266.82
2019-05-23,369.84,137.39,263.66
2019-05-24,371.55,137.18,264.27
2019-05-28,371.41,138.48,264.58
2019-05-29,367.79,137.64,260.99
2019-05-31,363.42,136.21,259.11
2019-06-03,360.14,135.39,258.81
2019-06-04,357.56,134.73,259.33
